id,Word,meaning
11438,صیحه," بانگ، جیغ، شیهه، فریاد، فغان، ناله"
11439,صید,"  شکار، طعمه، نخجیر ، اقتناص ، صیاد "
11440,صیدگاه," شکارگاه، نخجیرگاه"
11441,صیرفی," صراف، عیارگیر"
11442,صیرورت, شدن
11443,صیغه,"  متعه، نکاح‌موقت ، شکل، صورت، فرم، هیئت ، خطبه"
11444,صیفی," تابستانه، تابستانی ، شتوی"
11445,صیفی‌کاری," پالیز، فالیز، لته ، شتوی‌کاری "
11446,صیقل," پرداخت، جلا، روشنگر"
11447,صیقلی,"  براق، جلادار ، صاف، نرم"
11448,ضابط,"  بایگان ، پاسبان، پلیس، شحنه، شرطه ، محصل، ممیز ، مباشر ، حاکم، والی"
11449,ضابطه," دستور، قاعده، قانون، معیار، هنجار ، رابطه"
11450,ضارب," زننده ، مضروب"
11451,ضال,"  بیراه، گمراه، گمشده، گمگشته ، کنار ، عناب ، هادی"
11452,ضامن," پایندان، پذرفتار، کفیل، متعهد"
11453,ضایع," باطل، بی‌فایده، بیهوده، سقط، تباه، تلف، خراب، فاسد، مخروب، نفله، هدر، هرز ، آباد"
11454,ضایع‌سازی," تباه‌سازی، تضییع، حیف‌ومیل، نفله‌سازی، هدر"
11455,ضباط,"  بایگان، ثبات ، ضابط"
11456,ضبط,"  تصرف، توقیف ، آرشیو، بایگانی ، ثبت، درج، مندرج ، حبس ، حفظ، نگهداری"
11457,ضجر,"  بی‌آرام، بی‌قرار ، تنگدل، غمگین، مغموم ، نالش، ناله"
11458,ضجرت,"، اندوه، تنگدلی، کدورت، ملال، ملالت ، اشمئزاز، بیزاری"
11459,ضجور,"  اندوهمند، دلتنگ، مضطرب ، خشمگین، خشمناک، غضبناک ، بیزار، مشمئز"
11460,ضجه," زاری، زوزه، شیون، غوغا، فریاد، فغان، ناله، ندبه"
11461,ضجیع," هم‌بستر، همخوابه"
11462,ضخامت,"  درشتی، ستبرا، ستبری، قطر، کلفتی ، چاقی، فربهی"
11463,ضخیم," تناور، خشن، درشت، دفزک، زبر، ستبر، قطور، کلفت، گند ، باریک، لطیف"
11464,ضد,"  خلاف، عکس، مباین، مخالف، مغایر، نقیض، وارونه ، ناجور، ناسازگار ، خصم، دشمن، عدو ، موافق"
11465,ضدیت,"  اختلاف، تضاد، تناقض، مباینت، مخالفت، مغایرت ، خصومت، دشمنی، عناد، معاندت، ناسازگاری، نقاضت ، موافقت، مرافقت"
11466,ضدعفونی," ایمن‌سازی، عفونت‌زدایی، گندزدایی، میکرب‌زدایی"
11467,ضرا,"  بدبختی، تنگدستی، سختی، شدت، عسرت، فلاکت، نکبت ، آسیب، صدمه، گزند ، غلا، قحط"
11468,ضرابخانه, دارالضرب
11469,ضرب,"  زدن، شکنجه، ضربت، کوب، کوفتن ، جرح، زخم ، تنبک ، تالی، شبیه، مانند، مثل، همتا ، صنف، قسم، گونه، نوع ، چوله ، عجز ، قرینه"
11470,ضرب‌الاجل," فرجه، فرصت، مهلت"
11471,ضربان," تپش، زدن"
11472,ضربت," زخم، زدن، ضرب، ضربه، کتک، کوفت، نواخت"
11473,ضربه,"  زدن، شوک، ضربت ، آسیب ، قرعه"
11474,ضرر," آسیب، اضرار، تغابن، خسارت، خسران، زیان، زیانمندی، صدمه، غبن، گزند، لطمه ، نفع"
11475,ضرع,"  پستان ، زاری، لابه، ندبه ، خواری، حقارت ، تحقیر"
11476,ضرغام,"  اسد، شیر، صفدر، ضیغم ، بهادر، بی‌باک، دلاور، شجاع"
11477,ضرور," بایسته، دربایست، لازم، واجب ، غیرضرور، غیرواجب"
11478,ضرورت,"  احتیاج، اقتضا، حاجت، لزوم، ناچاری، نیاز، وجوب، هرآینگی ، اجبار، الزام"
11479,ضروری,"  الزامی، بایسته، فرض، لازم، واجب ، ناچار، ناگزیر، ، توالت، دستشویی ، غیرضروری"
11480,ضریح," آرامگاه، تربت، حرم، خاکجا، قبر، گور، مدفن، مرقد، مزار، مقبره"
11481,ضریر,"  اعمی، کور، نابینا ، لاغر، ناتوان، نحیف، نزار، ، بینا"
11482,ضعف," بی‌بنیگی، بی‌حالی، بی‌زوری، بی‌قوتی، درماندگی، زبونی، سستی، غش، فتور، ناتوانی، نقاهت، وهن ، قدرت، قوت"
11483,ضعیف," بی‌حال، بی‌قدرت، خفیف، راجل، زار، زبون، سست، عاجز، فرسوده، قاصر، کم‌زور، لاغر، ناتوان، نحیف، نزار ، قوی"
11484,ضعیف‌العقل," بی‌تدبیر، بی‌تمیز، خفیف‌العقل، ساده‌دل، ساده‌لوح، کانا"
11485,ضعیف‌النفس," بی‌اراده، بیچاره، حقیر، زبون، سست‌اراده، سست‌بنیاد، ناتوان ، بااراده"
11486,ضلال," انحراف، گمراهی ، هدی"
11487,ضلالت," انحراف، بغی، گمراهی، گمشدگی ، صلاح، هدایت"
11488,ضلع,"  بر، پهلو، جانب، کنار، ور ، دنده"
11489,ضماد," بریزه، پماد، مرهم"
11490,ضمار," پنهان، مختفی، مخفی، مستور، ناپیدا، نهان، نهفته ، آشکار، پیدا"
11491,ضمان," پیمان، تعهد، ذمه‌دار، ضمانت، عهد، عهده‌گیر، کفالت، وعده"
11492,ضمانت," پایندانی، پذرفتاری، تضمین، تعهد، تقبل، ضمان، کفالت، گروی، وثیقه"
11493,ضمایم," پیوست‌ها، متعلقات، ملحقات"
11494,ضمن,"  اثنا، حین، خلال، طی ، بین، داخل، درون، میان"
11495,ضمناً," اشارتا، اشاری، بعلاوه، درضمن ، تلویحا"
11496,ضمیر," اندرون، اندیشه، باطن، حال، خاطر، دل، ذهن، نهاد، نیت، وجدان"
11497,ضمیمه," الحاق، پیوست، تکمله، تلوا، فرعی، ملحق"
11498,ضیا," پرتو، روشنایی، روشنی، ضوء، نور ، تاریکی"
11499,ضیاع,"  املاک، اموال، دارایی ، خواسته‌ها ، کالا، متاع"
11500,ضیافت," بزم، پذیرایی، جشن، مهمانی، میهمانی، ولیمه"
11501,ضیغم," اسد، حیدر، شیر، غضنفر"
11502,ضیف," مدعو، میهمان ، میزبان"
11503,ضیق," تنگ، تنگنا، تنگی، کم‌وسعت، مضیقه، سختی ، وسیع"
11504,ضیمران," ریحان، سبزه، سبزی، گیاه"
11505,طابع ,"    چاپچی، چاپ‌کننده، طبع‌کننده ، مهرزن ، خاتم، مهر، انگشتری ، سرشت، سجیه، خو "
11506,طاحن ,"  آسیا، آسیاب بادی، طاحونه، ، آسیابان، آردکننده ، گاوخرمن‌کوب "
11507,طارق ,"  شب‌رو، ، دزد ، غافلگیر ، ستاره صبح"
11508,طارم ,"  تارم ، محجر ، خانه‌چوبین، کلبه ، داربست، داربند ، آسمان، سپهر، فلک ، خیمه، خرگاه ، ایوان "
11509,طارمی ,"  نرده ، دست‌انداز "
11510,طاری ,"  آینده ، عارض، عارضی ، ذاتی ، گزنده، گذرا، غیرمقیم ، متوطن ، روان، جاری، ، مسافر"
11511,طاری شدن ,"  شایع شدن، منتشر شدن ، عارض شدن "
11512,طاس ,"اسم  بی‌مو، کچل ، مودار، زلف‌دار ، تشت، طشت ، کعب، نرد ، پیاله، پیمانه، ساغر، قدح ، تاس، کاسه ، لگن"
11513,طاس‌بین ," رمال، فال‌گیر، غیب‌گو "
11514,طاس‌گردان ," طاس‌گیر، رمال "
11515,طاسی ,"  کچلی ، ریزش مو"
11516,طاعات ," عبادات، عبادت‌ها، نیایش‌ها، بندگی‌ها "
11517,طاعت‌پیشه ,"  طاعت‌ور، مطیع، فرمان‌بردار، ، عابد، عبادت‌پیشه، عبادت‌کار، زاهد، عبادتگر، طاعت‌گزار "
11518,طاعت ,"    عبادت، نیایش ، اطاعت، انقیاد، بندگی، پیروی، فرمانبرداری ، سرپیچی، سرکشی، نافرمانی ، فرمانبرداری کردن، اطاعت کردن، عبادت کردن "
11519,طاعت کردن ,"  فرمان‌برداری کردن، اطاعت کردن ، نیایش کردن "
11520,طاعت‌گزار ,"اسم  عبادت‌کار، نیایشگر ، طاعت‌دار "
11521,طاعن ,"صفت  سرزنشگر، طعنه‌زن، عیب‌جو، ملامتگر ، نیزه‌انداز "
11522,طاعون‌زده ," مبتلا به طاعون، طاعونی "
11523,طاغوت ,"اسم    بت، شمن، صنم ، بیدادگر، جبار، ستمگر ، سرکش، عاصی، گردنکش ، جادوگر، ساحر ، مارد"
11524,طاغوتی ,"  سرکش، متعدی، بیدادگر، ستمگر، ظالم ، دادگر، عادل ، سرکش، مستکبر ، مستضعف ، استکبار ، سلطنت‌طلب ، اشرافی، پرتحمل، پرزرق وبرق"
11525,طاغی ,"  سرکش، طغیانگر، عاصی، عصیانگر، متجاسر، متمرد، مخالف، ناجم، نافرمان ، رام، طایع ، متکبر "
11526,طاغی شدن ," نافرمان شدن، سرکش شدن، گردن‌کش شدن، عاصی گشتن"
11527,طافح ,"  بیخود، شراب‌خواره، مدهوش، مست، سیاه‌مست، کچول ، شراب‌باره، دائم‌الخمر "
11528,طاق افتادن ,"  جدا گشتن، دور شدن ، بی‌همتا بودن، بی‌همال بودن، بی‌مانند بودن "
11529,طاق‌باز ," به پشت خوابیده، به پشت‌دراز کشیده، ستان، طاق‌واز ، دمر"
11530,طاق بستن , طاق زدن
11531,طاق‌پوش ," سقف مقوس، سقف‌طاقی ، تیرپوش، سقف مسطح"
11532,طاقت آوردن ," برخود هموار کردن، تحمل کردن، یارستن، تاب آوردن، تحمل کردن، برتابیدن، برتافتن ، از کوره در رفتن، برنتافتن "
11533,طاقت ,"  تاب، تحمل، توان، توانایی، صبر، بردباری، وسع، یارا ، رمق، مقاومت، نا ، زور، قدرت، نیرو "
11534,طاقت داشتن ,"  تحمل‌داشتن، تاب آوردن، بردبار بودن ، مقاوم بودن "
11535,طاقت‌زدا ," توان‌زدا، توان‌سوز، تحمل‌گداز، توان‌فرسا، شاق، طاقت‌شکن، طاقت‌گداز، طاقت‌سوز ، توان بخش"
11536,طاقت‌سوز ,"تحمل‌گداز، توان‌فرسا، شاق، شکیب‌سوز، صبرسوز، طاقت‌زدا، طاقت‌شکن، طاقت‌فرسا، طاقت‌گداز "
11537,طاقت‌شکن ," طاقت‌زدا، توان‌سوز، توان‌فرسا، طاقت‌گداز، تحمل‌سوز، شاق، توان‌زدا، طاقت‌گداز "
11538,طاقت‌فرسا ," تحمل‌گداز، توان‌سوز، توان‌فرسا، شاق، صبرسوز، طاقت‌زدا، طاقت‌شکن، کمرشکن، غیر قابل تحمل، تحمل‌ناکردنی"
11539,طاقچه بالا گذاشتن ,"تکبر ورزیدن، افاده داشتن، افاده کردن، متکبربودن، مغرور شدن "
11540,طاقچه ," پرواره، رف، طاق"
11541,طاق ,"اسم  درگاه، سقف ، رف، طاقچه ، رواق ، آسمان، فلک، سپهر ، ایوان ، انحنا، خمیدگی، قوس، وتر ، تاق، تک، تنها، فرد، یگانه، یکتا ، جفت ، ردا، طیلسان ، تا، لنگه  ، تاک، رز، مو،   زیتون ، تا، دست، طاقه "
11542,طاقدیس ,"  طاق‌مانند، طاقی‌شکل ، ایوان، ، چین‌خوردگی (زمین) "
11543,طاق شدن ,"  تنها شدن، تک‌شدن ، جدا شدن ، مهجور گشتن ، یگانه‌شدن، بی‌همتا گشتن "
11544,طاق‌نما ,"  ایوان ، نمای‌طاقی، نمای طاقدار "
11545,طاق‌وجفت ," گوناگون، گونه‌گون، جورواجور"
11546,طاق‌وطرم ,"  کروفر، طمطراق، فروشکوه، طاق‌وطرنب، شکوه‌وجلال، طاق وطارم ، خودنمایی، تظاهر"
11547,طاقه ,"  تا ، تار، لا ، توپ ، دست "
11548,طالب ,"اسم    جوینده ، مطلوب ، خواهنده، خواهان، خواستار، مایل ، محصل، تلمیذ، طلبه ، استاد ، سالک ، پیر، مرید، مرشد "
11549,طالب شدن ," مایل گشتن، خواستار شدن، خواهان گشتن، طلب کردن "
11550,طالح ,"  بدکار، تبهکار، فاسد، مخبط، بدعمل، بدکردار ، ولگرد، بی‌سامان ، صالح"
11551,طالع ,"صفت  اختر، اقبال، بخت، دولت، شانس، فال، هور ، ادبار ، نصیب، قسمت، سرنوشت ، برآینده، ، افول‌کننده، آفل، طلوع‌کننده، شارق "
11552,طالع‌بین ,"رمال، غیب‌گو، فال‌بین، فالگیر"
11553,طالع‌بینی ,"رمالی، غیب‌گویی، فال‌بینی، فالگیری"
11554,طالع شدن ," طلوع کردن، دمیدن، برآمدن، ، غروب کردن، افول کردن "
11555,طالع‌مند ," نیک‌بخت، خوش‌اقبال، خوش‌شانس، بخت‌یار، نیک‌اختر، خوش‌بخت، پیشانی‌سفید، طالع‌ور، ، بی‌طالع، بدبخت، بداقبال"
11556,طامات ,"    شطح، کفرگویی، کفریات ، پریشان‌گویی، سخنان ادعاآمیز ، گزافه، اراجیف، گفتار بیهوده ، حادثه عظیم ، بلایا، سوانح "
11557,طامح ,"  سرکش، نافرمان ، چشم‌چران"
11558,طامع ,"  امیدوار، چشم‌به‌راه ، آزمند، حریص، طمعکار، طمع ورز ، قانع، خشنود، قناعت‌پیشه"
11559,طامه ,"  امر عظیم، حادثه عظیم، بلای عظیم، حادثه بزرگ ، رستاخیز، روزقیامت، محشر ، داهیه، مصیبت، بلای سخت "
11560,طاووس‌وار ,"قید  طاووس‌وش، طاووس‌فش، طاووس‌رفتار ، خرامان، نازخرام ، متکبرانه ، جلوه‌گرانه "
11561,طاووسی ,"  مربوط به طاووس ، به رنگ طاووس، سبز براق مایل به بنفش، مطوس "
11562,طاهر ,"  پاک، پاکیزه، تمیز، طیب، منقح، مهذب، نظیف ، پاکدامن ، پلشت، پلید، ناپاک، نجس ، بی‌گناه، معصوم "
11563,طاهر شدن ,"  پاک شدن، پاکیزه شدن، تمیز شدن، نظیف شدن ، نجس‌شدن، کثیف شدن، ناپاک شدن، ، طیب شدن ، بری از گناه شدن "
11564,طاهر کردن ," آب کشیدن، پاک کردن، تطهیر کردن ، نجس کردن"
11565,طاهره ,"پاکدامن، عفیفه، محصنه، مطهره"
11566,"طایر، طائر ","  پرنده، طیر، مرغ ، پروازکننده ، تایر، چرخ وسائط نقلیه ، تیوپ، تویی"
11567,"طایف، طائف ","اسم  طواف‌کننده، طواف‌گر ، شبگرد، عسس، میرشب "
11568,طایفگی ," قبیله‌ای، فامیلی "
11569,طایفه ," آل، اعقاب، امت، ایل، تیره، جماعت، جنس، خاندان، خانواده، دسته، دودمان، سلسله، عشیره، قبیله، قوم، گروه، ملت"
11570,طایفه‌دار ,"  فامیل‌دار، خانواده‌دار، ، فامیل‌دوست، خانواده‌دوست"
11571,طایل ,"صفت  فراخی، وسعت، فزونی ، توانایی، قدرت ، تحول، دارایی، توانگری، غنا ، سود، فایده، نفع، منفعت، بهره ، وسیع، گسترده ، بسیار، زیاد، وافر، فراوان "
11572,طبابت ,"  پزشکی، طب، درمانگری ، علم پزشکی، علم طب "
11573,طبابت کردن ," پزشک‌بودن، درمانگری کردن "
11574,طباخ ," آشپز، خوالیگر، خورشگر، سفره‌چی، پزنده"
11575,طباخی ,"آشپزی، خوراک‌پزی، خوالگیری، خورشگری"
11576,طباخی کردن ," آشپزی کردن، خوراک پختن، غذا پختن، طبخ کردن"
11577,طباع ," سرشت‌ها، طبع‌ها، سجایا"
11578,طباعی ," ذاتی، فطری ، عارضی، اکتسابی "
11579,طبال ,"دهل‌زن، طبل‌زن، طبل‌نواز"
11580,طبایع ,"  طبیعت‌ها، سرشت‌ها، نهادها ، سجایا، خوی‌ها ، مزاج‌ها، طبع‌ها ، طبع، قریحه ، چهار عنصر "
11581,طب ,"  پزشکی، طبابت ، علم‌الابدان، حرفه پزشکی ، درمان، معالجه ، درمان‌شناسی ، درمان کردن، معالجه کردن، درمانگری کردن، شفا دادن "
11582,طبخ ,"  پختن، پخته کردن ، پخت، پز، آشپزی "
11583,طبخ دادن ,"  حرارت دادن، گرم کردن ، پختن "
11584,طبخ کردن ,"  پختن، پخت کردن ، آشپزی کردن، غذا پختن "
11585,طبرخون ," بیدسرخ، عناب "
11586,طبرزد ,"صفت  نبات سرخ ، قند سوخته ، نوعی خرما ، بسیار شیرین، شهدآمیز "
11587,طبر , شمشاد
11588,طبری ,"  مازندرانی ، منسوب‌به طبرستان "
11589,طبع‌آزمایی ," آزمایش، آزمون (قریحه شاعری)، ذوق‌آزمایی "
11590,طبعطبع‌پرست ," هوی‌پرست، نفس‌پرست، هوس‌باز، هوس‌ران "
11591,طبع‌پرستی ," هوی‌پرستی، نفس‌پرستی، تبعیت از نفس، هوس‌رانی "
11592,طبع ,"  چاپ، نشر ، خو، سرشت، شیمه، منش، نهاد ، ذوق، قریحه، شاعری ، تمایل، گرایش، رغبت، میل ، قریحه، استعداد ، طبیعت، مزاج ، ذائقه ، رغبت، میل ، هریک از چهار عنصر اصلی ، هریک از چهارخلط اصلی، اخلاط چهارگانه  سلیقه، پسند، "
11593,طبع کردن ," چاپ کردن، به‌چاپ رساندن، چاپ زدن"
11594,طبع‌نواز ," دل‌خواه، خوش‌آیند، دل‌پذیر، مطبوع"
11595,طبقات ,"  اشکوبه‌ها، طبقه‌ها، مرتبه‌ها ، درجه‌ها، پایه‌ها، مراتب ، گروه‌ها، جماعات ، ترجمان احوال (دانشمندان) "
11596,طبق ,"حرف برابر، حسب، مطابق، موافق، موجب، وفق"
11597,طبق‌بند ," بندزن، چینی‌بندزن "
11598,طبق زدن ," هم‌جنس بازی کردن، سحق، مساحقه کردن (زنان)"
11599,طبق‌زن ," هم‌جنس باز (زن)، سحاقه، سعتری "
11600,طبق ,"  سینی، سینی گرد بزرگ ، برگ، ورق ، تا، لنگه، لنگه در ، گروه، فوج، جماعت ، اندام تناسلی زن "
11601,طبقه ,"    اشکوبه، اشکوب، خن ، رده، زمره، صف، کلاس، گونه ، رسته، سنخ، صنف، فرقه، گروه ، پوسته، چینه، قشر، لایه ، مرتبت، مرتبه، پایه، درجه ، دستگاه(موسیقی)"
11602,طبقه‌بندی ,"  دسته‌بندی، رده‌بندی، کلاسمان، کلاسه، گروه‌بندی ، طبقه‌سازی "
11603,طبقه‌بندی کردن ,"دسته‌بندی کردن، رده‌بندی کردن، کلاسه کردن، گرده‌بندی کردن "
11604,طبل‌خوار ," پرخور، شکم‌باره، شکم‌خواره، شکمو، مفت‌خور"
11605,طبل ,"دمامه، دهل، کوس، نقاره"
11606,طبل زدن ," طبل نواختن، دهل‌زدن، کوس زدن، نقاره زدن، طبل فروکوفتن، طبل‌کوبیدن "
11607,طبلک ," طبل کوچک، تنبک، دمبک "
11608,طبله ,"    بویدان، جونه ، حقه، درج، صندوقچه ، طبق ، طبل، طبلک ، شکم‌بارگی، برآمدگی ، اندود ورآمده، اندودجداشده از دیوار یا سقف "
11609,طبیب ,"  پزشک، حکیم، دکتر ، درمانگر ، طبیعت‌شناس ، بیمار"
11610,طبی ,"  بهداشتی ، مربوط به‌طب "
11611,طبیخ ," مطبوخ ، حاضری"
11612,طبیعت ,"   آفرینش، اصل، حالت، خاصه، خلق، خلقت، خمیره، خوی، ذات، سرشت، طبع، عادت، غریزه، فطرت، مزاج، منش، نهاد ، جهان، عالم، دنیا ، روزگار، دهر "
11613,طبیعتطبیعت‌گرا ,صفت ناتورالیست 
11614,طبیعت‌گرایانه ,ناتورالیستی 
11615,طبیعت‌گرایی , ناتورالیسم 
11616,طبیعیات ,"  علوم طبیعی ، فطری، غریزی "
11617,طبیعی ,"اسم  اصلی، جبلی، ذاتی، فطری، نهادین ، اصیل، بکر، دست‌نخورده ، آفریده، مخلوق ، مصنوعی، ساختگی ، مربوطبه طبیعت ، معمولی، عادی ، طبیعی‌دان "
11618,طپانچه ,"    اسلحه کمری، پارابلوم، تپانچه، پیستوله، هفت‌تیر ، سیلی، لطمه ، سیلی زدن ، لطمه زدن "
11619,طحال ," اسپرز، سپرز"
11620,طراح ,"  طرح‌ریز، ، مدل‌ساز، ، نقشه‌کش، ، نگارگر، نقاش ، طرح‌کننده، سئوال‌ساز ، برنامه‌ریز "
11621,طراحی ,"  طرح‌ریزی، مدل‌سازی، نقشه‌کشی، نگارگری ، برنامه‌ریزی "
11622,طراحی کردن ," نقشه‌کشیدن، طرح‌ریزی کردن، طرح ریختن"
11623,طراد ,"  نیزه کوتاه ، حمله، هجوم، یورش، تک "
11624,طراده ,"  زورق، قایق ، کشتی‌تندرو ، رایت، درفش، پرچم، علم "
11625,طرار ,"صفت  جیب‌بر، دزد، راهزن، سارق، تردست، شبرو، عیار، غارتگر، گردنه‌بند ، دلربا، زیبا ، زیرک، مکار"
11626,طراری ,"راه‌زنی، سرقت، شب‌روی، عیاری "
11627,طراری کردن ,"  حقه‌بازی کردن، حیله‌گری کردن، مکاری کردن ، گربزی کردن، فریب‌کاری کردن، زیرکی کردن "
11628,طراز ,"    پیرامون، حاشیه، سجاف، عطف، فراویز، یراق ، راه، روش، طرز، قاعده، قانون، نمط ، کارگاه دیبابافی، ، زینت، نقش‌ونگار ، ردیف، طبقه، مرتبه ، گونه، نوع، قسم ، تنظیم، تراز ، تار، رشته "
11629,طراز ,"صفت  تراز ، مسطح، میزان، هم‌سطح ، ردیف، مرتبه ، حد، اندازه ، حاشیه، یراق "
11630,طرازی ," موزون، کشیده، بلند "
11631,طراوت ," تازگی، تری، جدت، خرمی، شادابی، غضاضت، نداوت، نزهت ، پژمردگی"
11632,"طرایف، طرائف ","  طرفه، نوادر، شگفتی‌ها ، تازه‌ها، بدایع "
11633,طرب‌انگیز ,"شادی‌افزا، شادی‌زا، طرب‌آور، طربناک، مسرت‌انگیز، مسرت‌زا، نشاطآور، نشاطانگیز، طرب‌خیز ، غم‌انگیز "
11634,طرب‌خانه ," طرب‌سرا، عشرتکده، عشرت‌خانه، طرب‌آباد "
11635,طرب ," خوشی، رامش، سرور، شادمانی، شادی، عشرت، عیش، نشاط ، اندوه، غم "
11636,طرب‌سرا ," طربستان، عشرتکده، طرب‌خانه، عشرتگاه، طرب‌آشیان، طرب‌آباد، طربگاه "
11637,طربناک ," پرنشاط، سرورانگیز، شادمان، سروربخش، طرب‌انگیز، مسرت‌بار، مسرت‌بخش، بانشاط، نشاطآور، نشاطانگیز ، غمناک"
11638,طربناک شدن ,"  بانشاط شدن، شادمان گشتن، خوش‌حال شدن ، شادی‌آفرین شدن، نشاطافزا شدن "
11639,طرح ,"  الگو، مدل ، انگار، نگاره ، گرده ، نقاشی، نقش، نقشه ، نمودار ، شکل، تصویر ، زمینه، قالب ، پروژه ، پیشنهاد ، برنامه  کشیدن، نقاشی کردن ، مطرح کردن، ارائه کردن، ارائه دادن "
11640,طرح انداختن ," ایجاد کردن، به وجود آوردن، خلق کردن، ساختن، ترتیب‌دادن، سامان دادن "
11641,طرح دادن ," برنامه دادن، پیشنهاد دادن، پروژه نوشتن "
11642,طرح ریختن ," نقشه کشیدن، برنامه‌ریزی کردن، برنامه نوشتن"
11643,طرح‌ریز ,"پی‌ریز، طراح، گرده‌ریز، نقشه‌ریز"
11644,طرح‌ریزی ," پی‌ریزی، طراحی، نقشه‌ریزی"
11645,طرح شدن ,"  مطرح شدن، بیان شدن، بررسی شدن ، آماده شدن، فراهم‌شدن "
11646,طرح کردن ,"  پیشنهاد کردن، مطرح کردن ، بیان کردن، به میان‌کشیدن ، فراهم کردن، آماده کردن ، ترتیب‌دادن، نقشه کشیدن، برنامه‌ریزی کردن ، دورانداختن، برانداختن "
11647,طرد ,"  اخراج، تبعید، نفی بلد، ، رد، نفی، ، وازده ، دک کردن، دور کردن، راندن، تاراندن "
11648,طرد شدن ,"  مطرود گشتن، رانده شدن ، تبعید شدن، نفی بلد شدن ، حذف شدن، کنار گذاشته شدن "
11649,طرد کردن ,"  مطرود کردن، دور کردن، از خود راندن ، تبعید کردن، نفی‌بلد کردن ، کنار گذاشتن "
11650,طرز ,"    راه، روش، سان، شیوه، طریق، طریقه، طرد، منوال، نمط، نهج ، شکل، وضع، هیات ، گونه، نوع ، قاعده، قانون، آیین ، اسلوب، سبک، سیاق "
11651,طرف بربستن ," سود بردن، نفع یافتن، نتیجه‌گرفتن، بهره بردن، طرف بستن، استفاده کردن "
11652,طرف بستن ,"  بهره بردن، سود بردن، برخوردار شدن، بهره‌ور شدن، بهره‌مندشدن، طرف بربستن، طرف یافتن ، متنعم‌شدن، به نوا رسیدن "
11653,طرف ,"    جانب، جهت، حاشیه، سمت، سو، صوب، عرض، قبل، کران، کرانه، کنار، ناحیه ، حریف، معارض ، فلانی ، مخاطب ، حدود، حوالی ، گاه، وقت، هنگام ، مورد، محل ، منطقه، شهر ، سرحد، مرز ، رو، سطح، ور "
11654,طرف ,"  چشم ، گوشه‌چشم ، مژه ، نیم‌نگاه ، انتها، کناره، پایان، منتها ، بهره، سود، نفع، نتیجه ، گوشه چشم ، لحظه، آن، لمحه ، جانب، سو، جهت "
11655,طرف‌دار,"صفت پیرو، تابع، حامی، طرف‌گیر، دوستدار، شاعی، هواخواه، هوادار، یار ، مخالف"
11656,طرف‌داری,"پشتیبانی، جانب‌داری، حمایت، طرف‌گیری، هواخواهی، هواداری ، مخالفت"
11657,طرف ,"  کرانه، کناره ، جانب، سو، سمت، طرف ، اقلیم، ناحیه، منطقه"
11658,طرفگی ,"  شگفت‌آفرینی ، بداعت، تازگی "
11659,طرفه ,"  بدیع، بکر، تازه، نو ، شاذ، شگفت، عجیب، کم‌نظیر، کمیاب، نادر ، شوخ، ظریف ، بازیگر، چشم‌بند، مشعبد ، حقه‌باز، نیرنگ‌یاز ، نیک، نیکو ، زیبا، دلنشین، خوش‌آیند ، نکته ظریف، لطیفه، سخن‌نغز"
11660,طرفه‌العین ," لمحه، لحظه، یک چشم به هم زدن، آن "
11661,طرفیت ,"  مواجه شدن، مقابل گردیدن ، رویارویی ، دشمنی، عداوت ، کشمکش "
11662,طرفین ," دوطرف، دوجانب، دوسوی ، وسطین "
11663,طرق ,"  راهها، جاده‌ها ، شیوه‌ها، روش‌ها، طریق‌ها، متدها، نحوه‌ها "
11664,طرقه ,"توکا، چکاوک، جل"
11665,طرلان ," شاه‌باز، شهباز"
11666,طره ,"  تاب، زلف، کاکل، گیسو، گیس ، کرانه، حاشیه، کناره، گوشه ، کنگره ، باران‌گیر ، جبهه، ناصیه ، تازیانه، ، تارهای حاشیه دستار و جامه "
11667,طری ,"  تازه، جدید، نو ، باطراوت، تروتازه "
11668,طریف ," نو، تازه، غریب، نادر، شگفت"
11669,طریفه ,"  تازه، نو، بدیع ، نادر، شگفت، غریب ، نغز، نیکو، شیرین(کلام، سخن) "
11670,طریقت ,"    راه، روش، سلک، شرع ، عرفان، تصوف ، آیین، شریعت، کیش، مرام، مذهب، مسلک، نحله ، حقیقت ، فرقه، طریقه (متصوفه) ، سلوک ، تزکیه‌باطن ، شریعت "
11671,طریقت‌شناس ,"اسم عارف، سالک، متاله "
11672,طریق ,"  جاده، راه، سبیل، سلک، صراط، گذرگاه، ممر، معبر ، روش، طور، گونه، متد، منوال، نحو، وجه ، مذهب، مسلک، نحله ، پیشه، حرفه، کار ، عادت، خو ، راه، نغمه، سرود ، سبک، طرز ، قاعده، قانون، هنجار "
11673,طریقه ,"  اسلوب، راه، روال، روش، روند، سیاق، شق، شیوه، طرز، طریق، طور، نمط، وجه، وسیله، وضع ، رسم، قاعده، قانون ، آیین، سنت، کیش، مذهب، مسلک ، خو، رفتار، سیرت، عادت"
11674,طعام ,"خوراکی، خوراک، خوردنی، خورش، شیلان، غذا، قوت، مائده، نان ، آب، نوشیدنی، شراب"
11675,طعام دادن ," غذا دادن، خوراک دادن، تغذیه کردن، اطعام کردن"
11676,طعم ,"  چاشنی، مزه ، چشایی، چشش، ، ذائقه، مذاق، "
11677,طعمه‌خوار ,"صفت  غذاخور ، جیره‌خوار  ، جیره‌ده ، روزی‌رسان، رزق‌ده، رزاق "
